Handle,Title,Description,Rule Tags,AI Tags,Final Tags,Category,Audit Error Type,Audit Error Details,Correction,AI Prompt,Model Output
0-5mg-tick-tock-nicotine-candy-12-drops,0.5mg Tick Tock Nicotine Candy - 12 Drops,"<p><span>Experience a new way to manage nicotine cravings with 0.5mg Tick Tock Nicotine Drops. Each pack contains 12 precisely dosed drops, offering a discreet and convenient alternative for adults looking to reduce or control their nicotine intake. Designed for on-the-go use, these drops dissolve quickly in the mouth, delivering a gentle 0.5mg of nicotine per drop to help curb cravings without the need for smoking or chewing. The formulation is free from tobacco leaf and smoke, providing a cleaner option for those seeking a lower-risk alternative to traditional tobacco products.</span><span class=""whitespace-nowrap""><a rel=""nofollow noopener"" class=""mr-[2px] citation ml-xs inline"" data-state=""open"" aria-label=""Other Tobacco Products"" href=""https://www.fda.gov/tobacco-products/products-ingredients-components/other-tobacco-products"" target=""_blank""></a></span></p>
<ul>
<li data-start=""2"" data-end=""26"">0.5mg Nicotine Per Drop</li>
<li data-start=""29"" data-end=""49"">12 Drops Per Pack</li>
<li data-start=""52"" data-end=""81"">Fast-Dissolving Oral Drops</li>
<li data-start=""84"" data-end=""112"">Smoke-Free Nicotine Option</li>
<li data-start=""115"" data-end=""144"">Compact and Travel-Friendly</li>
</ul>
<p><strong>Flavours: </strong></p>
<ul>
<li>Berry Blaze</li>
<li>Berry Blue Fusion</li>
<li>Blue Razz Blast</li>
<li>Blue Raspberry</li>
<li>Blueberry Cherry</li>
<li>Blueberry Lemonade</li>
<li>Cherry Lush</li>
<li>Fruit Bomb</li>
<li>Fusion Pop</li>
<li>Gum Blast</li>
<li>Ice Blue</li>
<li>Lemon Lime Cherry Fizz</li>
<li>Pineapple Kiwi</li>
<li>Raspberry Cherry</li>
<li>Rocky Candy Orange</li>
<li>Strawberry Cherry</li>
<li>Strawberry Watermelon</li>
<li>Summer Dream</li>
<li>Watermelon Cherry</li>
<li>Watermelon Kiwi</li>
</ul>","ice,fruity,candy/sweets,tobacco",,"ice,fruity,candy/sweets,tobacco",,,,,,
0mg-au-gold-by-kingston-100ml-shortfill-e-liquid-70vg-30pg,0mg AU Gold By Kingston 100ml Shortfill E-liquid (70VG/30PG),"<p><span>Discover the 0mg AU Gold 100ml Shortfill, an e-liquid crafted for vapers keen for a satisfyingly smooth vaping experience. This premium blend features a 70:30 VG/PG ratio that ensures rich vapour production and powerful flavour. With a generous 100ml bottle, the 0mg nicotine strength gives you the option of a nicotine-free experience all night long! Explore the delightful flavours of this high-quality, carefully formulated e-liquid - cloud chaser or flavour seeker, you'll be delighted on your vaping journey with the 0mg AU Gold 100ml Shortfill!</span><br></p>
<ul>
<li>70VG/30PG</li>
<li>100ml e-liquid </li>
<li>120ml Bottle </li>
<li>Add 2 Nicotine Shots or <span>Nic Salt Shots</span>
</li>
<li>Ideal for DTL Systems </li>
<li>Works Great With Sub-Ohm Devices</li>
</ul>
<p><strong>Flavours<br></strong></p>
<ul>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Banana Ice</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Black Cherry Raspberry</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Bubblegum</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Blue Raspberry</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Blue Fusion</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Cherry Drops</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Cream Tobacco</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Golden Gummy Bear</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Lemon Lime</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Minty Menthol</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Miami Peach Pineapple</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Pineapple Ice</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Raspberry Pineapple</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Strawberry Raspberry Cherry Ice</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Tutti Frutti</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Tropical Mango</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Tropical Fruit Ice</span></span></li>
<li><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj"">Watermelon Lime Mint<br></span></span></li>
<li>Zingberry</li>
<li>Black A</li>
<li>Chuckleberry</li>
<li>Red A</li>
</ul>
<p><span class=""Polaris-Badge_2qgie""><span class=""Polaris-Text--root_yj4ah Polaris-Text--bodySm_nvqxj""><br></span></span></p>","70/30,candy/sweets,tobacco,shortfill,0mg,fruity,100ml,direct-to-lung,nic_salt,ice","shortfill,100ml","candy/sweets,70/30,tobacco,shortfill,0mg,fruity,100ml,direct-to-lung,nic_salt,ice",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-avant-garde-e-liquid-opulence-range-glass-shortfill-30ml-various-vg-pg-buy-1-get-1-free,0mg Avant Garde E-liquid Opulence Range Glass Shortfill 30ml (Various VG/PG) (BUY 1 GET 1 FREE),"<p data-mce-fragment=""1"">Experience the ultimate vaping pleasure with 0mg Avant Garde's Opulence Range Glass Shortfill! This 30ml bottle with a glass pipette offers a unique blend of UK-made VG/PG ratios, so you can enjoy smooth and delectable flavour with both sub-ohm and MTL devices. The product is also TPD compliant with a childproof cap, tamper-evident seal, and recyclable material - ensuring safety and sustainability. Unleash your inner superhero with the extraordinary flavours of this e-liquid!</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made in the UK</li>
<li data-mce-fragment=""1"">0mg Nicotine Strength</li>
<li data-mce-fragment=""1"">30ml Bottle Room For 1 X 10ml Shot</li>
<li data-mce-fragment=""1"">Various VG/PG Ratios<br data-mce-fragment=""1"">
</li>
<li data-mce-fragment=""1"">Ideal for Sub-Ohm + MTL Devices &amp; Kits</li>
<li data-mce-fragment=""1"">Childproof Cap &amp; Tamper Evident Seal</li>
<li data-mce-fragment=""1"">Recyclable Bottle</li>
<li data-mce-fragment=""1"">Glass Pipette Included</li>
<li data-mce-fragment=""1"">TPD Compliant</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Flavours:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">The Luscious Trio</li>
</ul>","mouth-to-lung,shortfill,30ml,0mg,10ml,nic_salt",,"mouth-to-lung,shortfill,30ml,0mg,10ml,nic_salt",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-avant-garde-e-liquid-originals-range-glass-shortfill-30ml-various-vg-pg-buy-1-get-1-free,0mg Avant Garde E-liquid Originals Range Glass Shortfill 30ml (Various VG/PG) (BUY 1 GET 1 FREE),"<p data-mce-fragment=""1"">Treat your tastebuds to a unique experience with the Avant Garde Originals Range! Enjoy their multi-award-winning Heavenly Vanilla Custard or the world-famous Red Ice. Inhale the smooth, elegantly crafted flavours and exhale the pure joy of vaping in style! </p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made in the UK</li>
<li data-mce-fragment=""1"">0mg Nicotine Strength</li>
<li data-mce-fragment=""1"">30ml Bottle Room For 1 X 10ml Shot</li>
<li data-mce-fragment=""1"">Various VG/PG Ratios<br data-mce-fragment=""1"">
</li>
<li data-mce-fragment=""1"">Ideal for Sub-Ohm + MTL Devices &amp; Kits</li>
<li data-mce-fragment=""1"">Childproof Cap &amp; Tamper Evident Seal</li>
<li data-mce-fragment=""1"">Recyclable Bottle</li>
<li data-mce-fragment=""1"">Glass Pipette Included</li>
<li data-mce-fragment=""1"">TPD Compliant</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Flavours:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Red Ice</li>
<li data-mce-fragment=""1"">Heavenly Vanilla Custard</li>
<li data-mce-fragment=""1"">Tobacco Nut</li>
<li data-mce-fragment=""1"">Ice Menthol</li>
</ul>","nuts,tobacco,mouth-to-lung,shortfill,30ml,0mg,10ml,nic_salt,ice",,"nuts,tobacco,mouth-to-lung,shortfill,30ml,0mg,10ml,nic_salt,ice",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-avant-garde-e-liquid-originals-range-glass-shortfill-50ml-various-vg-pg-buy-1-get-1-free,0mg Avant Garde E-liquid Originals Range Glass Shortfill 50ml (Various VG/PG) (BUY 1 GET 1 FREE),"<p data-mce-fragment=""1"">Treat your tastebuds to a unique experience with the Avant Garde Originals Range! Enjoy their multi-award-winning Heavenly Vanilla Custard or the world-famous Red Ice. Inhale the smooth, elegantly crafted flavours and exhale the pure joy of vaping in style! </p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made in the UK</li>
<li data-mce-fragment=""1"">0mg Nicotine Strength</li>
<li data-mce-fragment=""1"">50ml Bottle Room For 1 X 10ml Shot</li>
<li data-mce-fragment=""1"">Various VG/PG Ratios<br data-mce-fragment=""1"">
</li>
<li data-mce-fragment=""1"">Ideal for Sub-Ohm + MTL Devices &amp; Kits</li>
<li data-mce-fragment=""1"">Childproof Cap &amp; Tamper Evident Seal</li>
<li data-mce-fragment=""1"">Recyclable Bottle</li>
<li data-mce-fragment=""1"">Glass Pipette Included</li>
<li data-mce-fragment=""1"">TPD Compliant</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Flavours:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Red Ice</li>
<li data-mce-fragment=""1"">Heavenly Vanilla Custard</li>
<li data-mce-fragment=""1"">Tobacco Nut</li>
<li data-mce-fragment=""1"">Ice Menthol</li>
</ul>","nuts,50ml,tobacco,mouth-to-lung,shortfill,0mg,10ml,nic_salt,ice",,"nuts,50ml,tobacco,mouth-to-lung,shortfill,0mg,10ml,nic_salt,ice",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-avant-garde-e-liquid-superhero-range-range-glass-shortfill-30ml-various-vg-pg-buy-1-get-1-free,0mg Avant Garde E-liquid Superhero Range Range Glass Shortfill 30ml (Various VG/PG) (BUY 1 GET 1 FREE),"<p data-mce-fragment=""1"">Discover an e-liquid superhero! 0mg Avant Garde's Superhero Range Range Glass Shortfill offers a UK-made blend of various VG/PG ratios, designed to create smooth flavour with both sub-ohm and MTL devices. This 30ml bottle comes with a glass pipette and is TPD compliant with a childproof cap, tamper-evident seal, and recyclable material. Get the superhero flavours you've been looking for!</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made in the UK</li>
<li data-mce-fragment=""1"">0mg Nicotine Strength</li>
<li data-mce-fragment=""1"">30ml Bottle Room For 1 X 10ml Shot</li>
<li data-mce-fragment=""1"">Various VG/PG Ratios<br data-mce-fragment=""1"">
</li>
<li data-mce-fragment=""1"">Ideal for Sub-Ohm + MTL Devices &amp; Kits</li>
<li data-mce-fragment=""1"">Childproof Cap &amp; Tamper Evident Seal</li>
<li data-mce-fragment=""1"">Recyclable Bottle</li>
<li data-mce-fragment=""1"">Glass Pipette Included</li>
<li data-mce-fragment=""1"">TPD Compliant</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Flavours:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Heart Of Heaven<br>
</li>
</ul>","mouth-to-lung,shortfill,30ml,0mg,10ml,nic_salt",,"mouth-to-lung,shortfill,30ml,0mg,10ml,nic_salt",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-avant-garde-e-liquid-superhero-range-range-glass-shortfill-50ml-various-vg-pg-buy-1-get-1-free,0mg Avant Garde E-liquid Superhero Range Range Glass Shortfill 50ml (Various VG/PG) (BUY 1 GET 1 FREE),"<p data-mce-fragment=""1"">Discover an e-liquid superhero! 0mg Avant Garde's Superhero Range Range Glass Shortfill offers a UK-made blend of various VG/PG ratios, designed to create smooth flavour with both sub-ohm and MTL devices. This 50ml bottle comes with a glass pipette and is TPD compliant with a childproof cap, tamper-evident seal, and recyclable material. Get the superhero flavours you've been looking for!</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made in the UK</li>
<li data-mce-fragment=""1"">0mg Nicotine Strength</li>
<li data-mce-fragment=""1"">50ml Bottle Room For 1 X 10ml Shot</li>
<li data-mce-fragment=""1"">Various VG/PG Ratios<br data-mce-fragment=""1"">
</li>
<li data-mce-fragment=""1"">Ideal for Sub-Ohm + MTL Devices &amp; Kits</li>
<li data-mce-fragment=""1"">Childproof Cap &amp; Tamper Evident Seal</li>
<li data-mce-fragment=""1"">Recyclable Bottle</li>
<li data-mce-fragment=""1"">Glass Pipette Included</li>
<li data-mce-fragment=""1"">TPD Compliant</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Flavours:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Heart Of Heaven</li>
</ul>","50ml,mouth-to-lung,shortfill,0mg,10ml,nic_salt",,"50ml,mouth-to-lung,shortfill,0mg,10ml,nic_salt",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-avant-garde-e-liquid-vaping-outlaws-range-glass-shortfill-30ml-100vg-buy-1-get-1-free,0mg Avant Garde E-liquid Vaping Outlaws Range Glass Shortfill 30ml (100VG) (BUY 1 GET 1 FREE),"<p data-mce-fragment=""1"">Discover an e-liquid superhero! 0mg Avant Garde's Vaping Outlaws Range Range Glass Shortfill offers a UK-made blend, designed to create smooth flavour with both sub-ohm and MTL devices. This 30ml bottle comes with a glass pipette and is TPD compliant with a childproof cap, tamper-evident seal, and recyclable material. Get the superhero flavours you've been looking for!</p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made in the UK</li>
<li data-mce-fragment=""1"">0mg Nicotine Strength</li>
<li data-mce-fragment=""1"">30ml Bottle Room For 1 X 10ml Shot</li>
<li data-mce-fragment=""1"">100VG<br data-mce-fragment=""1"">
</li>
<li data-mce-fragment=""1"">Ideal for Sub-Ohm + MTL Devices &amp; Kits</li>
<li data-mce-fragment=""1"">Childproof Cap &amp; Tamper Evident Seal</li>
<li data-mce-fragment=""1"">Recyclable Bottle</li>
<li data-mce-fragment=""1"">Glass Pipette Included</li>
<li data-mce-fragment=""1"">TPD Compliant</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Flavours:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Four Horsemen</li>
</ul>","mouth-to-lung,shortfill,30ml,0mg,10ml,nic_salt",,"mouth-to-lung,shortfill,30ml,0mg,10ml,nic_salt",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-bar-liq-shortfill-120ml-70vg-30pg,0mg Bar Liq shortfill 120ml (70VG/30PG),"Bar Liq's 0mg shortfill e-liquid. Experience a luxurious and indulgent vaping journey, crafted for the discerning vaping enthusiast, this premium product boasts a 70% vegetable glycerin content and a 30% propylene glycol content for a smooth and satisfying experience. The sub-ohm and RDL-designed liquid will provide a smooth satisfying flavour while offering a copious amount of clouds for those who prefer a more free-flowing cloud of vapour.  <br>
<ul>
<li>Made in the UK</li>
<li>0mg Nicotine Strength</li>
<li>100ml E-liquid Content in a 120ml Shortfill Bottle</li>
<li>Space for 2 x 18mg Nicotine shots for 3mg</li>
<li>70VG/30PG</li>
<li>Childproof and Tamper evident cap</li>
<li>Suitable for Sub Ohm Vaping</li>
<li>Recyclable Bottle</li>
<li>TPD compliant</li>
</ul>
<p><strong>Flavours: </strong><br></p>
<ul>
<li><span data-mce-fragment=""1"">Blue Sour Raspberry</span></li>
<li><span data-mce-fragment=""1"">Mango Ice</span></li>
<li><span data-mce-fragment=""1"">Strawberry Raspberry Cherry</span></li>
<li><span data-mce-fragment=""1"">Cola Ice</span></li>
<li><span data-mce-fragment=""1"">Green Apple Ice</span></li>
</ul>
<p> </p>","70/30,candy/sweets,shortfill,0mg,100ml,direct-to-lung,nic_salt,ice",,"candy/sweets,70/30,shortfill,0mg,100ml,direct-to-lung,nic_salt,ice",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
0mg-bar-series-50ml-longfill-100pg,0mg Bar Series 50ml Longfill (100PG),"<p>Indulge in the exceptional flavour and impressive vapour output of 0mg Bar Series 50ml longfill. Carefully crafted with an expertly blended formula, this e-liquid caters to all preferences. Experience a smooth and satisfying vape without any harsh throat hit. Infused with a captivating blend of natural flavours, this longfill offers a delightful journey of sensory delight. Whether you're a seasoned vaper or new to e-cigarettes, the Bar Series is a must-try for an exceptional and balanced vaping experience.<br data-mce-fragment=""1""><br data-mce-fragment=""1""><strong data-mce-fragment=""1"">Specifications: </strong><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Made in the UK</li>
<li data-mce-fragment=""1"">0mg Nicotine Strength</li>
<li data-mce-fragment=""1"">20ml E-liquid Content in a 60ml Longfill Bottle<br>
</li>
<li data-mce-fragment=""1"">Space for 3 x 10ml Nicotine shots = 10mg<br>
</li>
<li data-mce-fragment=""1"">100PG Until Mixed</li>
<li data-mce-fragment=""1"">VG/PG Based Upon Added Nicotine Shots</li>
<li data-mce-fragment=""1"">Childproof and Tamper evident cap<br>
</li>
<li data-mce-fragment=""1"">Recyclable Bottle</li>
<li data-mce-fragment=""1"">TPD compliant</li>
<li data-mce-fragment=""1"">pod or pen-style vape device</li>
</ul>
<p><br data-mce-fragment=""1""><strong>Flavours</strong><span style=""text-decoration: underline;""><strong>:</strong></span><br data-mce-fragment=""1""></p>
<ul>
<li>Apple Peach</li>
<li>Blueberry Cranberry Cherry</li>
<li>Blueberry Sour Raspberry</li>
<li>Cherry Fizz </li>
<li>Cola Ice</li>
<li>Grape</li>
<li>Mango Ice</li>
<li>Spearmint</li>
<li>Strawberry Raspberry Cherry</li>
<li>Watermelon Ice</li>
</ul>","unflavoured,candy/sweets,50ml,0mg,10ml,nic_salt,ice,20ml",,"20ml,candy/sweets,50ml,0mg,10ml,nic_salt,ice,unflavoured",e-liquid,Missing VG/PG ratio tag,vg_ratio category tag,,,
